keys,en,es,pt_BR,fr,de,it
log_splash_death,Lv.{value} goblin burned to a crisp!,¡El goblin de Nv.{value} fue reducido a cenizas!,O goblin de Nv.{value} virou cinzas!,Le gobelin de niv.{value} a fini en cendres !,Der Goblin der Stufe {value} ist zu Asche verbrannt!,Il goblin di liv.{value} è ridotto in cenere!
log_overcrowding_damage,The horde is overwhelming! You take {damage} damage.,¡La horda es abrumadora! Recibes {damage} de daño.,A horda está esmagando você! Você sofre {damage} de dano.,La horde vous écrase ! Vous subissez {damage} dégâts.,Die Horde überwältigt dich! Du erleidest {damage} Schaden.,L'orda ti travolge! Subisci {damage} danni.
log_overcrowding_resist,Your resilience prevents overcrowding damage!,¡Tu resistencia previene el daño por aplastamiento!,Sua resistência evita o dano por superlotação!,Votre résistance vous protège de l'écrasement !,Deine Widerstandskraft schützt dich vor dem Erdrücken!,La tua resistenza evita i danni da schiacciamento!
log_chest_vanished,A treasure chest vanished before you could open it.,Un cofre del tesoro desapareció antes de que pudieras abrirlo.,Um baú desapareceu antes que você pudesse abri-lo.,Un coffre a disparu avant que vous puissiez l'ouvrir.,"Eine Schatztruhe ist verschwunden, bevor du sie öffnen konntest.",Un forziere è scomparso prima che potessi aprirlo.
log_level_up_combine,+{levels} level(s) for a Lv.{value} goblin!,¡+{levels} nivel(es) por un goblin de Nv.{value}!,+{levels} nível(is) por um goblin de Nv.{value}!,+{levels} niveau(x) pour un gobelin de niv.{value} !,+{levels} Stufe(n) für einen Goblin der Stufe {value}!,+{levels} livelli per un goblin di liv.{value}!
log_level_up_kills,+{levels} level(s) from slaying goblins!,¡+{levels} nivel(es) por eliminar goblins!,+{levels} nível(is) por derrotar goblins!,+{levels} niveau(x) en éliminant des gobelins !,+{levels} Stufe(n) durch besiegte Goblins!,+{levels} livelli sconfiggendo i goblin!
log_horde_attack,The horde attacks! You take {damage} damage.,¡La horda ataca! Recibes {damage} de daño.,A horda ataca! Você sofre {damage} de dano.,La horde attaque ! Vous subissez {damage} dégâts.,Die Horde greift an! Du erleidest {damage} Schaden.,L'orda attacca! Subisci {damage} danni.
log_horde_blocked,Your shield blocked all damage from the horde!,¡Tu escudo bloqueó todo el daño de la horda!,Seu escudo bloqueou todo o dano da horda!,Votre bouclier a bloqué tous les dégâts de la horde !,Dein Schild hat den gesamten Schaden der Horde abgewehrt!,Il tuo scudo ha bloccato tutti i danni dell'orda!
log_rope_cancelled,Rope use cancelled.,Uso de cuerda cancelado.,Uso da corda cancelado.,Utilisation de la corde annulée.,Seileinsatz abgebrochen.,Uso della corda annullato.
log_rope_activated,Rope mode activated. Select a goblin to move.,Modo cuerda activado. Selecciona un goblin para mover.,Corda ativada. Selecione um goblin para mover.,Corde activée. Choisissez un gobelin à déplacer.,Seil aktiviert. Wähle einen Goblin zum Verschieben.,Corda attivata. Seleziona un goblin da spostare.
log_rope_selected,Selected Lv.{value} goblin. Choose an empty spot.,Seleccionado goblin de Nv.{value}. Elige un espacio vacío.,Goblin de Nv.{value} selecionado. Escolha um espaço vazio.,Gobelin de niv.{value} sélectionné. Choisissez une case vide.,Goblin der Stufe {value} ausgewählt. Wähle ein freies Feld.,Goblin di liv.{value} selezionato. Scegli una casella vuota.
log_rope_used,Moved goblin with a rope.,Moviste un goblin con una cuerda.,Você moveu um goblin com a corda.,Vous avez déplacé un gobelin avec la corde.,Du hast einen Goblin mit dem Seil verschoben.,Hai spostato un goblin con la corda.
log_rope_cancelled_selection,Cancelled selection. Choose a goblin to move.,Selección cancelada. Elige un goblin para mover.,Seleção cancelada. Escolha um goblin para mover.,Sélection annulée. Choisissez un gobelin à déplacer.,Auswahl aufgehoben. Wähle einen Goblin zum Verschieben.,Selezione annullata. Scegli un goblin da spostare.
log_enter_shop,You enter the shop...,Entras en la tienda...,Você entra na loja...,Vous entrez dans la boutique...,Du betrittst den Laden...,Entri nel negozio...
log_shop_purchase_leaves,The shopkeeper packs up and leaves after your purchase.,El tendero se va después de tu compra.,O vendedor vai embora depois da sua compra.,Le marchand remballe et s'en va après votre achat.,Der Händler packt nach deinem Kauf zusammen und geht.,Il mercante fa i bagagli e se ne va dopo il tuo acquisto.
log_leave_shop,You leave the shop... for now.,Sales de la tienda... por ahora.,Você sai da loja... por enquanto.,Vous quittez la boutique... pour le moment.,Du verlässt den Laden... vorerst.,Esci dal negozio... per ora.
log_purchase,Purchased {item} for {cost} gold.,Compraste {item} por {cost} de oro.,Você comprou {item} por {cost} de ouro.,Vous avez acheté {item} pour {cost} pièces d'or.,{item} für {cost} Gold gekauft.,Hai acquistato {item} per {cost} oro.
log_heal,You healed for {hp} HP.,Te curaste {hp} HP.,Você recuperou {hp} HP.,Vous avez récupéré {hp} PV.,Du hast {hp} LP geheilt.,Hai recuperato {hp} PV.
log_perm_upgrade_purchased,Purchased upgrade: {name}!,¡Mejora comprada: {name}!,Melhoria comprada: {name}!,Amélioration achetée : {name} !,Verbesserung gekauft: {name}!,Potenziamento acquistato: {name}!
reason_crushed,You were crushed by the overwhelming horde.,Fuiste aplastado por la horda abrumadora.,Você foi esmagado pela horda.,La horde vous a écrasé.,Die überwältigende Horde hat dich erdrückt.,L'orda ti ha schiacciato.
reason_slain,You were slain by the goblins.,Fuiste asesinado por los goblins.,Você foi derrotado pelos goblins.,Les gobelins vous ont vaincu.,Du wurdest von den Goblins besiegt.,I goblin ti hanno sconfitto.
reason_victory,You have created the Goblin Lord! Victory is yours.,¡Has creado al Señor Goblin! La victoria es tuya.,Você criou o Lorde Goblin! A vitória é sua.,Vous avez créé le Seigneur gobelin ! La victoire est à vous.,Du hast den Goblinfürsten erschaffen! Der Sieg gehört dir.,Hai creato il Signore dei Goblin! La vittoria è tua.
toast_no_ropes,No ropes left!,¡No quedan cuerdas!,Sem cordas!,Plus de cordes !,Keine Seile übrig!,Nessuna corda rimasta!
toast_not_enough_gold,Not enough gold!,¡Oro insuficiente!,Ouro insuficiente!,Pas assez d'or !,Nicht genug Gold!,Oro insufficiente!
toast_not_enough_gold_desc,You need {cost} gold to buy {item}.,Necesitas {cost} de oro para comprar {item}.,Você precisa de {cost} de ouro para comprar {item}.,Il vous faut {cost} pièces d'or pour acheter {item}.,"Du brauchst {cost} Gold, um {item} zu kaufen.",Ti servono {cost} oro per acquistare {item}.
toast_not_enough_xp,Not enough XP!,¡XP insuficiente!,XP insuficiente!,Pas assez d'XP !,Nicht genug XP!,XP insufficienti!
toast_max_level,Max level reached!,¡Nivel máximo alcanzado!,Nível máximo alcançado!,Niveau maximal atteint !,Maximale Stufe erreicht!,Livello massimo raggiunto!
toast_error_saving,Error Saving Progress,Error al Guardar el Progreso,Erro ao salvar o progresso,Échec de la sauvegarde,Speichern fehlgeschlagen,Errore di salvataggio
toast_upgrade_purchased,Upgrade Purchased!,¡Mejora Comprada!,Melhoria comprada!,Amélioration achetée !,Verbesserung gekauft!,Potenziamento acquistato!
toast_upgrade_purchased_desc,You bought {name}.,Compraste {name}.,Você comprou {name}.,Vous avez acheté {name}.,Du hast {name} gekauft.,Hai acquistato {name}.
streak_banner,MASSACRE ×{count}!,¡MASACRE ×{count}!,MASSACRE ×{count}!,MASSACRE ×{count} !,MASSAKER ×{count}!,MASSACRO ×{count}!
log_golden_appeared,A GOLDEN goblin appeared! Slay it for 10x gold!,¡Apareció un goblin DORADO! ¡Elíminalo por 10x de oro!,Um goblin DOURADO apareceu! Derrote-o para ganhar 10x mais ouro!,Un gobelin DORÉ est apparu ! Éliminez-le pour gagner 10 fois plus d'or !,Ein GOLDENER Goblin ist erschienen! Besiege ihn für 10-mal so viel Gold!,È apparso un goblin DORATO! Sconfiggilo per ottenere 10 volte più oro!
back_to_menu,Back to Menu,Volver al Menú,Voltar ao menu,Retour au menu,Zurück zum Menü,Torna al menu
menu_title,Menu,Menú,Menu,Menu,Menü,Menu
music_on,Music: ON,Música: ON,Música: ligada,Musique : oui,Musik: an,Musica: sì
music_off,Music: OFF,Música: OFF,Música: desligada,Musique : non,Musik: aus,Musica: no
tapShop,ENTER,ENTRAR,ENTRAR,ENTRER,LADEN,ENTRA
tapChest,OPEN,ABRIR,ABRIR,OUVRIR,ÖFFNEN,APRI
hordeCountdown,Horde attacks in {count} moves,Ataque en {count} movimientos,Ataque em {count} movimentos,Attaque dans {count} coups,Angriff in {count} Zügen,Attacco tra {count} mosse
hordeSoon,Horde incoming! {count} moves left,¡Se acerca la horda! Quedan {count},A horda vem aí! Restam {count},La horde arrive ! Encore {count} coups,Die Horde kommt! Noch {count} Züge,Arriva l'orda! Restano {count} mosse
hordeNextMove,NEXT MOVE: HORDE ATTACK!,¡ATAQUE EN EL PRÓXIMO MOVIMIENTO!,PRÓXIMO MOVIMENTO: ATAQUE!,PROCHAIN COUP : ATTAQUE !,NÄCHSTER ZUG: ANGRIFF!,PROSSIMA MOSSA: ATTACCO!
shopUnlockHint,Locked items need an unlock in Permanent Upgrades on the main menu. Spend XP there; spend gold here.,Desbloquea objetos en Mejoras Permanentes desde el menú principal. Allí gastas XP; aquí gastas oro.,"Desbloqueie itens nas Melhorias permanentes do menu principal. Lá você gasta XP; aqui, ouro.","Débloquez les objets dans les Améliorations permanentes du menu principal. Dépensez-y votre XP ; ici, utilisez votre or.","Schalte Gegenstände unter Dauerhafte Verbesserungen im Hauptmenü frei. Dort zahlst du mit XP, hier mit Gold.",Sblocca gli oggetti nei Potenziamenti permanenti del menu principale. Lì spendi XP; qui spendi oro.
about,About,Acerca de,Sobre,À propos,Über das Spiel,Informazioni
privacy,Privacy,Privacidad,Privacidade,Confidentialité,Datenschutz,Privacy
versionLabel,Version {version},Versión {version},Versão {version},Version {version},Version {version},Versione {version}
aboutGameTitle,Goblin Shift,Goblin Shift,Goblin Shift,Goblin Shift,Goblin Shift,Goblin Shift
aboutGameBody,"A tactical 2048 puzzle: merge matching goblins, survive the horde and build your permanent upgrades. Story and Endless modes are playable offline.","Un puzle táctico de 2048: combina goblins iguales, sobrevive a la horda y consigue mejoras permanentes. Los modos Historia e Infinito se juegan sin conexión.","Um puzzle tático inspirado em 2048: combine goblins iguais, sobreviva à horda e conquiste melhorias permanentes. Os modos História e Infinito funcionam sem conexão.","Un puzzle tactique inspiré de 2048 : fusionnez les gobelins identiques, survivez à la horde et obtenez des améliorations permanentes. Les modes Histoire et Infini se jouent hors connexion.","Ein taktisches Puzzle nach dem 2048-Prinzip: Kombiniere gleiche Goblins, überlebe die Horde und sammle dauerhafte Verbesserungen. Story- und Endlosmodus sind offline spielbar.","Un rompicapo tattico ispirato a 2048: unisci goblin uguali, sopravvivi all'orda e ottieni potenziamenti permanenti. Le modalità Storia e Infinita si giocano offline."
aboutArtTitle,Original pixel art,Pixel art original,Pixel art original,Pixel art original,Eigene Pixelgrafik,Pixel art originale
aboutArtBody,"Goblin portraits, interface, icons and animated effects were drawn for this project with Pillow. Font: VT323 by Peter Hull, licensed under SIL Open Font License 1.1.","Los goblins, la interfaz, los iconos y los efectos animados se dibujaron para este proyecto con Pillow. Fuente: VT323 de Peter Hull, con licencia SIL Open Font License 1.1.","Os goblins, a interface, os ícones e os efeitos animados foram desenhados para este projeto com Pillow. Fonte: VT323, de Peter Hull, sob a licença SIL Open Font License 1.1.","Les gobelins, l'interface, les icônes et les effets animés ont été dessinés pour ce projet avec Pillow. Police : VT323 de Peter Hull, sous licence SIL Open Font License 1.1.","Goblins, Oberfläche, Symbole und animierte Effekte wurden mit Pillow für dieses Projekt gezeichnet. Schrift: VT323 von Peter Hull, lizenziert unter der SIL Open Font License 1.1.","I goblin, l'interfaccia, le icone e gli effetti animati sono stati disegnati per questo progetto con Pillow. Carattere: VT323 di Peter Hull, con licenza SIL Open Font License 1.1."
aboutTechTitle,Built with Godot,Hecho con Godot,Feito com Godot,Créé avec Godot,Mit Godot entwickelt,Creato con Godot
aboutTechBody,Created by covagashi. Built with Godot Engine. The game code and Godot Engine use the MIT license.,Creado por covagashi. Desarrollado con Godot Engine. El código del juego y Godot Engine utilizan la licencia MIT.,Criado por covagashi. Desenvolvido com Godot Engine. O código do jogo e o Godot Engine usam a licença MIT.,Créé par covagashi. Développé avec Godot Engine. Le code du jeu et Godot Engine utilisent la licence MIT.,Erstellt von covagashi. Entwickelt mit Godot Engine. Der Spielcode und Godot Engine stehen unter der MIT-Lizenz.,Creato da covagashi. Sviluppato con Godot Engine. Il codice del gioco e Godot Engine utilizzano la licenza MIT.
privacyOfflineTitle,No ads or tracking,Sin anuncios ni seguimiento,Sem anúncios nem rastreamento,Sans publicité ni suivi,Keine Werbung oder Nachverfolgung,Senza pubblicità né tracciamento
privacyOfflineBody,"This game does not collect or send personal information. It has no advertising, analytics, accounts or tracking services. There are no data-sharing options to enable.","Este juego no recopila ni envía información personal. No incluye publicidad, analíticas, cuentas ni servicios de seguimiento. No hay opciones de compartir datos que activar.","Este jogo não coleta nem envia informações pessoais. Não inclui publicidade, análises, contas ou serviços de rastreamento. Não há opções de compartilhamento de dados a ativar.","Ce jeu ne collecte ni ne transmet d'informations personnelles. Il ne contient ni publicité, ni outils d'analyse, ni comptes, ni services de suivi. Il n'y a aucune option de partage de données à activer.","Dieses Spiel erfasst oder übermittelt keine personenbezogenen Daten. Es enthält keine Werbung, Analysewerkzeuge, Konten oder Trackingdienste. Es gibt keine Optionen zur Datenfreigabe, die aktiviert werden könnten.","Questo gioco non raccoglie né invia informazioni personali. Non include pubblicità, strumenti di analisi, account o servizi di tracciamento. Non ci sono opzioni di condivisione dei dati da attivare."
privacyLocalTitle,Your progress stays on this device,Tu progreso se guarda en este dispositivo,Seu progresso fica neste dispositivo,Votre progression reste sur cet appareil,Dein Fortschritt bleibt auf diesem Gerät,I tuoi progressi restano su questo dispositivo
privacyLocalBody,"Your saved run, XP, upgrades, local leaderboard, language and audio preferences are stored on this device. They are not uploaded to a server. Clearing the app data removes this progress.","La partida, la XP, las mejoras, la clasificación local, el idioma y las preferencias de audio se guardan en este dispositivo. No se suben a ningún servidor. Borrar los datos de la app elimina este progreso.","Sua partida, XP, melhorias, ranking local, idioma e preferências de áudio ficam salvos neste dispositivo. Não são enviados a um servidor. Limpar os dados do aplicativo apaga esse progresso.","Votre partie, votre XP, vos améliorations, le classement local, la langue et les réglages audio sont enregistrés sur cet appareil. Ils ne sont pas envoyés à un serveur. Effacer les données de l'application supprime cette progression.","Dein Spielstand, XP, Verbesserungen, die lokale Bestenliste, Sprache und Audioeinstellungen werden auf diesem Gerät gespeichert. Sie werden nicht auf einen Server hochgeladen. Das Löschen der App-Daten entfernt diesen Fortschritt.","La partita, gli XP, i potenziamenti, la classifica locale, la lingua e le preferenze audio sono salvati su questo dispositivo. Non vengono caricati su un server. Cancellare i dati dell'app elimina questi progressi."
privacyPermissionsTitle,Device access,Acceso al dispositivo,Acesso ao dispositivo,Accès à l'appareil,Gerätezugriff,Accesso al dispositivo
privacyPermissionsBody,"The Android app uses vibration for gameplay feedback. It does not request internet, camera, microphone, contacts or location access.","La app de Android usa la vibración para responder a las acciones del juego. No solicita acceso a internet, cámara, micrófono, contactos ni ubicación.","O aplicativo Android usa vibração como resposta às ações no jogo. Não solicita acesso à internet, câmera, microfone, contatos ou localização.","L'application Android utilise les vibrations pour accompagner les actions de jeu. Elle ne demande aucun accès à Internet, à la caméra, au microphone, aux contacts ou à la localisation.","Die Android-App nutzt Vibration als Rückmeldung im Spiel. Sie fordert keinen Zugriff auf Internet, Kamera, Mikrofon, Kontakte oder Standort an.","L'app Android usa la vibrazione per rispondere alle azioni di gioco. Non richiede accesso a Internet, fotocamera, microfono, contatti o posizione."
soundSettings,Sound settings,Ajustes de sonido,Ajustes de som,Réglages audio,Audioeinstellungen,Impostazioni audio
backgroundMusic,Background music,Música de fondo,Música de fundo,Musique de fond,Hintergrundmusik,Musica di sottofondo
soundEffects,Sound effects,Efectos de sonido,Efeitos sonoros,Effets sonores,Soundeffekte,Effetti sonori
audioOn,On,Sí,Sim,Oui,An,Sì
audioOff,Off,No,Não,Non,Aus,No
testSound,Test sound,Probar efecto,Testar som,Tester le son,Ton testen,Prova audio
languageTitle,Language,Idioma,Idioma,Langue,Sprache,Lingua
languageHint,Choose the language for menus and gameplay.,Elige el idioma de los menús y del juego.,Escolha o idioma dos menus e do jogo.,Choisissez la langue des menus et du jeu.,Wähle die Sprache für Menüs und Spiel.,Scegli la lingua dei menu e del gioco.
upgradeLevel,Lv. {current}/{max},Nv. {current}/{max},Nv. {current}/{max},Niv. {current}/{max},Stufe {current}/{max},Liv. {current}/{max}
